Ticker,Company
PH,Parker-Hannifin Corp
CAT,Caterpillar Inc
SNA,Snap-on Inc
SWK,Stanley Black & Decker Inc
IEX,IDEX Corp
OTIS,Otis Worldwide Corp
WAB,Westinghouse Air Brake Technologies Corp
NDSN,Nordson Corp
IR,Ingersoll Rand Inc
PCAR,PACCAR Inc
CMI,Cummins Inc
DE,Deere & Co
DOV,Dover Corp
XYL,Xylem Inc/NY
PNR,Pentair PLC
FTV,Fortive Corp
ITW,Illinois Tool Works Inc
GE,General Electric Co
MMM,3M Co
HON,Honeywell International Inc
FCX,Freeport-McMoRan Inc
NEM,Newmont Corp
NUE,Nucor Corp
ALB,Albemarle Corp
PPG,PPG Industries Inc
SHW,Sherwin-Williams Co/The
APD,Air Products and Chemicals Inc
LIN,Linde PLC
LYB,LyondellBasell Industries NV
DOW,Dow Inc
CE,Celanese Corp
IFF,International Flavors & Fragrances Inc
EMN,Eastman Chemical Co
DD,DuPont de Nemours Inc
CF,CF Industries Holdings Inc
