Ticker,Company
IRM,Iron Mountain Inc
MAA,Mid-America Apartment Communities Inc
AMT,American Tower Corp
BXP,Boston Properties Inc
PLD,Prologis Inc
CPT,Camden Property Trust
ESS,Essex Property Trust Inc
CCI,Crown Castle International Corp
PSA,Public Storage
O,Realty Income Corp
VTR,Ventas Inc
VNO,Vornado Realty Trust
WY,Weyerhaeuser Co
EQIX,Equinix Inc
DLR,Digital Realty Trust Inc
EXR,Extra Space Storage Inc
DRE,Duke Realty Corp
FRT,Federal Realty Investment Trust
WELL,Welltower Inc
SBAC,SBA Communications Corp
PEAK,Healthpeak Properties Inc
KIM,Kimco Realty Corp
EQR,Equity Residential
UDR,UDR Inc
SPG,Simon Property Group Inc
AVB,AvalonBay Communities Inc
REG,Regency Centers Corp
HST,Host Hotels & Resorts Inc
ARE,Alexandria Real Estate Equities Inc
CBRE,CBRE Group Inc
