Ticker,Company
GM,General Motors Co
F,Ford Motor Co
TSLA,Tesla Inc
BA,Boeing Co/The
RTX,Raytheon Technologies Corp
TXT,Textron Inc
TDG,TransDigm Group Inc
HWM,Howmet Aerospace Inc
GD,General Dynamics Corp
LHX,L3Harris Technologies Inc
HII,Huntington Ingalls Industries Inc
LMT,Lockheed Martin Corp
NOC,Northrop Grumman Corp
UNP,Union Pacific Corp
ODFL,Old Dominion Freight Line Inc
CSX,CSX Corp
JBHT,JB Hunt Transport Services Inc
NSC,Norfolk Southern Corp
CHRW,CH Robinson Worldwide Inc
EXPD,Expeditors International of Washington I
FDX,FedEx Corp
UPS,United Parcel Service Inc
CHRW,CH Robinson Worldwide Inc
EXPD,Expeditors International of Washington I
FDX,FedEx Corp
UPS,United Parcel Service Inc
LUV,Southwest Airlines Co
ALK,Alaska Air Group Inc
AAL,American Airlines Group Inc
DAL,Delta Air Lines Inc
UAL,United Airlines Holdings Inc
